Fecha_Hora,pm2.5
17/01/2024 7:00,26.232
17/01/2024 8:00,33.4362
17/01/2024 9:00,45.7021
17/01/2024 10:00,39.9589
17/01/2024 11:00,26.8689
17/01/2024 12:00,18.4738
17/01/2024 13:00,9.94024
17/01/2024 14:00,6.2294
17/01/2024 15:00,9.98377
17/01/2024 16:00,8.73438
17/01/2024 17:00,1.24422
17/01/2024 18:00,4.9606
17/01/2024 19:00,7.37917
17/01/2024 20:00,19.5811
17/01/2024 21:00,17.0463
17/01/2024 22:00,18.1887
17/01/2024 23:00,27.8245
18/01/2024 0:00,27.7626
18/01/2024 1:00,22.9002
18/01/2024 2:00,24.0582
18/01/2024 3:00,22.8567
18/01/2024 4:00,25.2415
18/01/2024 5:00,21.6013
18/01/2024 6:00,25.1875
18/01/2024 7:00,25.1898
18/01/2024 8:00,27.5874
18/01/2024 9:00,32.6392
18/01/2024 10:00,32.8061
18/01/2024 11:00,22.0742
18/01/2024 12:00,9.95837
18/01/2024 13:00,4.98374
18/01/2024 14:00,1.24975
18/01/2024 15:00,10.0108
18/01/2024 16:00,6.25894
18/01/2024 17:00,7.50453
18/01/2024 20:00,7.3647
18/01/2024 21:00,12.2103
18/01/2024 22:00,13.364
18/01/2024 23:00,19.3942
19/01/2024 0:00,22.9541
19/01/2024 1:00,26.5599
19/01/2024 2:00,25.3738
19/01/2024 3:00,27.7349
19/01/2024 4:00,19.2719
19/01/2024 5:00,21.668
19/01/2024 6:00,25.2632
19/01/2024 7:00,26.4349
19/01/2024 8:00,33.6908
19/01/2024 9:00,36.2395
19/01/2024 10:00,43.6595
19/01/2024 11:00,31.76
19/01/2024 12:00,19.7374
19/01/2024 13:00,7.44818
19/01/2024 14:00,11.1854
19/01/2024 15:00,1.24173
19/01/2024 16:00,9.94654
19/01/2024 17:00,6.20889
19/01/2024 18:00,1.23591
19/01/2024 19:00,0
19/01/2024 20:00,9.7692
19/01/2024 21:00,17.0268
19/01/2024 22:00,24.2576
19/01/2024 23:00,21.7705
20/01/2024 0:00,20.4916
20/01/2024 1:00,28.8726
20/01/2024 2:00,19.2323
20/01/2024 3:00,16.7925
20/01/2024 4:00,23.9781
20/01/2024 5:00,23.9804
20/01/2024 6:00,32.3857
20/01/2024 7:00,27.5483
20/01/2024 8:00,26.4361
20/01/2024 9:00,39.8266
20/01/2024 10:00,41.1844
20/01/2024 11:00,21.9556
20/01/2024 12:00,24.5572
20/01/2024 13:00,12.3584
20/01/2024 14:00,9.90596
20/01/2024 15:00,14.8977
20/01/2024 16:00,4.95313
20/01/2024 17:00,6.16699
20/01/2024 18:00,11.0843
20/01/2024 19:00,7.34866
20/01/2024 20:00,14.6379
20/01/2024 21:00,19.4627
20/01/2024 22:00,15.7697
20/01/2024 23:00,20.5832
21/01/2024 0:00,25.3961
21/01/2024 1:00,25.3433
21/01/2024 2:00,19.2988
21/01/2024 3:00,18.0872
21/01/2024 4:00,18.0776
21/01/2024 5:00,22.8398
21/01/2024 6:00,17.9936
21/01/2024 7:00,21.5674
21/01/2024 8:00,14.3867
21/01/2024 9:00,26.5695
21/01/2024 10:00,40.12
21/01/2024 11:00,17.0769
21/01/2024 12:00,13.5221
21/01/2024 13:00,12.3238
21/01/2024 14:00,8.65255
21/01/2024 15:00,11.1687
21/01/2024 16:00,9.90994
21/01/2024 17:00,7.41956
21/01/2024 18:00,1.23073
21/01/2024 19:00,9.79696
21/01/2024 20:00,8.54182
21/01/2024 21:00,14.5935
21/01/2024 22:00,14.5292
21/01/2024 23:00,15.7098
22/01/2024 0:00,14.4939
22/01/2024 1:00,15.6995
22/01/2024 2:00,18.079
22/01/2024 3:00,16.8757
22/01/2024 4:00,18.0815
22/01/2024 5:00,20.4661
22/01/2024 6:00,19.2356
22/01/2024 7:00,24.038
22/01/2024 8:00,27.6954
22/01/2024 9:00,25.4475
22/01/2024 10:00,18.2369
22/01/2024 11:00,8.56045
22/01/2024 12:00,19.7262
22/01/2024 13:00,11.1567
22/01/2024 14:00,9.99489
22/01/2024 15:00,8.75962
22/01/2024 16:00,10.0176
22/01/2024 17:00,7.48939
22/01/2024 18:00,1.23789
22/01/2024 19:00,6.14571
22/01/2024 20:00,99999
22/01/2024 21:00,99999
22/01/2024 22:00,99999
22/01/2024 23:00,99999
23/01/2024 0:00,99999
23/01/2024 1:00,99999
23/01/2024 2:00,99999
23/01/2024 3:00,99999
23/01/2024 4:00,99999
23/01/2024 5:00,99999
23/01/2024 6:00,99999
23/01/2024 7:00,99999
23/01/2024 8:00,99999
23/01/2024 10:00,30.4185
23/01/2024 11:00,19663
23/01/2024 12:00,128.89
23/01/2024 13:00,8.76651
23/01/2024 14:00,0
23/01/2024 15:00,7.53061
23/01/2024 16:00,303.629
23/01/2024 17:00,7.52089
23/01/2024 18:00,7.47049
23/01/2024 19:00,0
23/01/2024 20:00,11.0042
23/01/2024 21:00,10.9339
